alien	形	異質な	alien culture	異質な文化
allege	動	申し立てる	allege misconduct	不正を申し立てる
alliance	名	同盟	form an alliance	同盟を結ぶ
allocate	動	割り当てる	allocate resources	資源を割り当てる
alter	動	変更する	alter a schedule	予定を変更する
alternative	名	代替案	viable alternative	実行可能な代替案
amateur	名	素人	amateur musician	アマチュア音楽家
amaze	動	驚かせる	amaze the audience	聴衆を驚かせる
ambition	名	野心	political ambition	政治的野心
amend	動	修正する	amend a rule	規則を修正する
amount	名	量	a large amount	大量
ample	形	十分な	ample evidence	十分な証拠
analysis	名	分析	data analysis	データ分析
ancestor	名	祖先	distant ancestor	遠い祖先
ancient	形	古代の	ancient civilization	古代文明
anger	名	怒り	suppress anger	怒りを抑える
angle	名	角度	from another angle	別の角度から
announce	動	発表する	announce a decision	決定を発表する
annual	形	年次の	annual report	年次報告書
anonymous	形	匿名の	anonymous source	匿名の情報源
anticipate	動	予想する	anticipate demand	需要を予想する
anxiety	名	不安	reduce anxiety	不安を減らす
anxious	形	心配して	anxious about exams	試験を心配して
apology	名	謝罪	offer an apology	謝罪する
apparent	形	明らかな	apparent contradiction	明らかな矛盾
appeal	動	訴える	appeal to voters	有権者に訴える
appear	動	現れる	appear in public	公の場に現れる
appetite	名	欲求	appetite for risk	リスクへの欲求
apply	動	申し込む	apply for admission	入学を申し込む
appoint	動	任命する	appoint a director	所長を任命する
appreciate	動	感謝する	appreciate support	支援に感謝する
approach	動	近づく	approach a problem	問題に取り組む
appropriate	形	適切な	appropriate response	適切な対応
approve	動	承認する	approve a request	申請を承認する
approximate	形	おおよその	approximate figure	おおよその数値
arbitrary	形	任意の	arbitrary decision	任意の決定
architecture	名	建築	modern architecture	近代建築
argue	動	主張する	argue a point	論点を主張する
arise	動	生じる	problems arise	問題が生じる
arrange	動	手配する	arrange a meeting	会合を手配する
arrest	動	逮捕する	arrest a suspect	容疑者を逮捕する
arrogant	形	傲慢な	arrogant attitude	傲慢な態度
article	名	記事	newspaper article	新聞記事
artificial	形	人工の	artificial intelligence	人工知能
ashamed	形	恥ずかしい	feel ashamed	恥ずかしいと思う
aspect	名	側面	key aspect	重要な側面
assault	名	攻撃	verbal assault	言葉による攻撃
assemble	動	組み立てる	assemble parts	部品を組み立てる
assert	動	主張する	assert a right	権利を主張する
assess	動	評価する	assess damage	被害を評価する
asset	名	資産	valuable asset	貴重な資産
assign	動	割り当てる	assign a task	課題を割り当てる
assist	動	援助する	assist a patient	患者を援助する
associate	動	関連づける	associate with quality	品質と関連づける
assume	動	仮定する	assume responsibility	責任を引き受ける
assure	動	保証する	assure safety	安全を保証する
astonish	動	驚かせる	astonish critics	批評家を驚かせる
athlete	名	競技者	elite athlete	一流競技者
atmosphere	名	雰囲気	tense atmosphere	緊張した雰囲気
attach	動	添付する	attach a file	ファイルを添付する
attack	動	攻撃する	attack a claim	主張を攻撃する
attain	動	達成する	attain success	成功を収める
attempt	動	試みる	attempt a rescue	救助を試みる
attend	動	出席する	attend a lecture	講義に出席する
attitude	名	態度	positive attitude	前向きな態度
attract	動	引きつける	attract attention	注目を集める
attribute	動	帰属させる	attribute to luck	運のせいとする
audience	名	聴衆	captive audience	逃げ場のない聴衆
authentic	形	本物の	authentic document	本物の文書
author	名	著者	the lead author	筆頭著者
authority	名	権限	legal authority	法的権限
automatic	形	自動の	automatic process	自動処理
available	形	利用できる	available data	利用可能なデータ
average	形	平均の	average score	平均点
avoid	動	避ける	avoid conflict	対立を避ける
await	動	待つ	await a reply	返信を待つ
award	名	賞	receive an award	賞を受ける
aware	形	気づいている	fully aware	十分に気づいている
awkward	形	ぎこちない	awkward silence	気まずい沈黙
background	名	背景	historical background	歴史的背景
bacteria	名	細菌	harmful bacteria	有害な細菌
balance	名	均衡	keep a balance	均衡を保つ
ban	動	禁止する	ban smoking	喫煙を禁止する
bargain	名	取引	strike a bargain	取引をまとめる
barrier	名	障壁	trade barrier	貿易障壁
basis	名	根拠	on a daily basis	日常的に
behave	動	振る舞う	behave rationally	理性的に振る舞う
behavior	名	行動	social behavior	社会的行動
belief	名	信念	religious belief	宗教的信念
belong	動	属する	belong to a group	集団に属する
beneficial	形	有益な	beneficial effect	有益な効果
benefit	名	利益	mutual benefit	相互の利益
betray	動	裏切る	betray trust	信頼を裏切る
bias	名	偏見	cultural bias	文化的偏見
bind	動	拘束する	bind by contract	契約で拘束する
biology	名	生物学	molecular biology	分子生物学
bitter	形	苦い	bitter dispute	激しい争い
blame	動	非難する	blame the weather	天候のせいにする
blank	形	空白の	blank expression	無表情
blast	名	爆発	a loud blast	大きな爆発音
blend	動	混ぜる	blend cultures	文化を融合する
block	動	妨げる	block a proposal	提案を妨げる
bloom	動	咲く	flowers bloom	花が咲く
boast	動	自慢する	boast of success	成功を自慢する
bold	形	大胆な	bold decision	大胆な決定
bond	名	絆	social bond	社会的な絆
boom	名	急成長	economic boom	経済の急成長
boost	動	押し上げる	boost morale	士気を高める
border	名	国境	cross the border	国境を越える
bore	動	退屈させる	bore the class	授業を退屈させる
bother	動	悩ます	bother a neighbor	隣人を悩ます
bound	形	〜しそうな	bound to fail	失敗しそうな
boundary	名	境界	national boundary	国の境界
branch	名	部門	a local branch	地方支部
brand	名	商標	famous brand	有名な商標
brave	形	勇敢な	brave attempt	勇敢な試み
breed	動	繁殖させる	breed livestock	家畜を繁殖させる
brief	形	簡潔な	brief summary	簡潔な要約
brilliant	形	輝かしい	brilliant idea	輝かしい発想
broaden	動	広げる	broaden knowledge	知識を広げる
budget	名	予算	annual budget	年間予算
bulk	名	大部分	the bulk of	大部分の
burden	名	負担	financial burden	金銭的負担
bureaucracy	名	官僚制	rigid bureaucracy	硬直した官僚制
burst	動	破裂する	burst into tears	突然泣き出す
calculate	動	計算する	calculate the cost	費用を計算する
campaign	名	運動	election campaign	選挙運動
cancel	動	取り消す	cancel a flight	便を取り消す
candidate	名	候補者	job candidate	求職の候補者
capable	形	能力がある	capable leader	有能な指導者
capacity	名	能力	full capacity	フル稼働
capture	動	捕らえる	capture attention	注意を捉える
career	名	経歴	academic career	学問上の経歴
cargo	名	貨物	cargo ship	貨物船
carve	動	彫る	carve a statue	像を彫る
cast	動	投げる	cast a vote	票を投じる
casual	形	何気ない	casual remark	何気ない発言
catalog	名	目録	course catalog	科目目録
catastrophe	名	大災害	natural catastrophe	自然の大災害
category	名	範疇	broad category	広い範疇
cause	名	原因	root cause	根本原因
caution	名	慎重さ	exercise caution	慎重に行動する
cease	動	やめる	cease operations	操業をやめる
celebrate	動	祝う	celebrate a victory	勝利を祝う
cell	名	細胞	nerve cell	神経細胞
ceremony	名	式典	opening ceremony	開会式
certificate	名	証明書	birth certificate	出生証明書
challenge	名	難題	face a challenge	難題に直面する
champion	名	擁護者	champion of rights	権利の擁護者
chaos	名	混乱	political chaos	政治的混乱
character	名	性格	strong character	強い性格
characteristic	名	特徴	key characteristic	主要な特徴
charge	動	課す	charge a fee	料金を課す
charity	名	慈善	charity event	慈善行事
charm	名	魅力	natural charm	自然な魅力
chase	動	追う	chase a dream	夢を追う
cheat	動	欺く	cheat on a test	試験で不正をする
chemical	形	化学の	chemical reaction	化学反応
chief	形	主要な	chief concern	主要な懸念
choke	動	窒息する	choke on smoke	煙で息が詰まる
circumstance	名	状況	under the circumstances	その状況では
cite	動	引用する	cite a source	出典を引用する
citizen	名	市民	private citizen	一般市民
civil	形	市民の	civil rights	市民権
claim	動	主張する	claim victory	勝利を主張する
clarify	動	明らかにする	clarify a point	論点を明らかにする
classic	形	典型的な	classic example	典型的な例
classify	動	分類する	classify species	種を分類する
clause	名	条項	a legal clause	法的条項
client	名	依頼人	regular client	常連の依頼人
climate	名	気候	climate change	気候変動
clue	名	手がかり	vital clue	重要な手がかり
coach	名	指導者	team coach	チームの指導者
code	名	規範	moral code	道徳規範
collapse	動	崩壊する	collapse under pressure	圧力で崩壊する
colleague	名	同僚	research colleague	研究上の同僚
collect	動	集める	collect data	データを集める
colony	名	植民地	former colony	かつての植民地
column	名	欄	newspaper column	新聞の欄
combat	動	戦う	combat poverty	貧困と戦う
combine	動	結合する	combine efforts	努力を結合する
comedy	名	喜劇	political comedy	政治喜劇
comfort	名	快適さ	seek comfort	快適さを求める
command	動	命じる	command respect	敬意を集める
comment	名	論評	brief comment	短い論評
commerce	名	商業	international commerce	国際商業
commission	名	委員会	special commission	特別委員会
commit	動	専念する	commit a crime	犯罪を犯す
committee	名	委員会	steering committee	運営委員会
common	形	共通の	common interest	共通の関心
communicate	動	伝達する	communicate clearly	明確に伝達する
community	名	共同体	local community	地域共同体
companion	名	仲間	travel companion	旅の仲間
compare	動	比較する	compare results	結果を比較する
compatible	形	両立する	compatible goals	両立する目標
compel	動	強制する	compel action	行動を強制する
compete	動	競争する	compete for funds	資金を争う
competent	形	有能な	competent staff	有能な職員
competition	名	競争	fierce competition	激しい競争
complain	動	不満を言う	complain of noise	騒音に不満を言う
complement	動	補完する	complement each other	互いを補完する
complete	動	完了する	complete a survey	調査を完了する
complex	形	複雑な	complex issue	複雑な問題
complicate	動	複雑にする	complicate matters	事態を複雑にする
comply	動	従う	comply with rules	規則に従う
compose	動	構成する	compose a letter	手紙を書く
compound	名	化合物	chemical compound	化合物
comprehend	動	理解する	comprehend a text	文章を理解する
comprehensive	形	包括的な	comprehensive review	包括的な検討
comprise	動	構成する	comprise several parts	複数の部分からなる
compromise	名	妥協	reach a compromise	妥協に達する
compute	動	計算する	compute a total	合計を計算する
conceal	動	隠す	conceal the truth	真実を隠す
concede	動	認める	concede defeat	敗北を認める
concentrate	動	集中する	concentrate on work	仕事に集中する
concept	名	概念	abstract concept	抽象概念
concern	名	懸念	public concern	公の懸念
conclude	動	結論づける	conclude a treaty	条約を締結する
concrete	形	具体的な	concrete evidence	具体的な証拠
condemn	動	非難する	condemn violence	暴力を非難する
condition	名	状態	living condition	生活状態
conduct	動	実施する	conduct research	研究を実施する
confer	動	協議する	confer with experts	専門家と協議する
confess	動	告白する	confess a fault	過ちを告白する
confidence	名	自信	gain confidence	自信を得る
confine	動	限定する	confine to a topic	話題に限定する
confirm	動	確認する	confirm a booking	予約を確認する
conflict	名	対立	armed conflict	武力対立
conform	動	従う	conform to norms	規範に従う
confront	動	直面する	confront a crisis	危機に直面する
confuse	動	混乱させる	confuse the issue	問題を混乱させる
congratulate	動	祝う	congratulate a winner	勝者を祝う
congress	名	議会	national congress	国会
connect	動	つなぐ	connect ideas	考えをつなぐ
conscience	名	良心	guilty conscience	やましい良心
conscious	形	意識して	environmentally conscious	環境を意識して
consecutive	形	連続した	consecutive years	連続した年
consensus	名	合意	reach a consensus	合意に達する
consent	名	同意	give consent	同意を与える
consequence	名	結果	serious consequence	深刻な結果
conservative	形	保守的な	conservative estimate	控えめな見積もり
consider	動	考慮する	consider options	選択肢を考慮する
consist	動	成り立つ	consist of parts	部分から成り立つ
consistent	形	一貫した	consistent policy	一貫した方針
constant	形	絶え間ない	constant pressure	絶え間ない圧力
constitute	動	構成する	constitute a threat	脅威をなす
construct	動	建設する	construct a theory	理論を構築する
consult	動	相談する	consult a lawyer	弁護士に相談する
consume	動	消費する	consume energy	エネルギーを消費する
contact	名	接触	make contact	接触する
contain	動	含む	contain errors	誤りを含む
contemporary	形	現代の	contemporary art	現代芸術
contend	動	主張する	contend that	〜だと主張する
content	名	内容	table of contents	目次
contest	名	競技	essay contest	小論文競技
context	名	文脈	historical context	歴史的文脈
continent	名	大陸	on the continent	大陸で
continue	動	続ける	continue a debate	討論を続ける
contract	名	契約	sign a contract	契約に署名する
contradict	動	矛盾する	contradict a claim	主張と矛盾する
contrary	形	反対の	contrary opinion	反対の意見
contrast	名	対照	sharp contrast	鮮明な対照
contribute	動	貢献する	contribute to society	社会に貢献する
control	動	制御する	control inflation	インフレを制御する
controversy	名	論争	public controversy	公の論争
convenience	名	便利さ	for convenience	便宜上
convention	名	慣習	social convention	社会的慣習
conventional	形	従来の	conventional wisdom	従来の通念
convert	動	転換する	convert energy	エネルギーを転換する
convey	動	伝える	convey a message	伝言を伝える
convince	動	納得させる	convince the jury	陪審を納得させる
cooperate	動	協力する	cooperate fully	全面的に協力する
coordinate	動	調整する	coordinate efforts	取り組みを調整する
cope	動	対処する	cope with stress	ストレスに対処する
core	名	核心	core issue	核心の問題
corporate	形	企業の	corporate culture	企業文化
correct	動	訂正する	correct an error	誤りを訂正する
correspond	動	一致する	correspond to reality	現実と一致する
corrupt	形	腐敗した	corrupt official	腐敗した役人
cost	名	費用	hidden cost	隠れた費用
council	名	評議会	city council	市議会
counsel	動	助言する	counsel a student	学生に助言する
counter	動	対抗する	counter an argument	議論に対抗する
county	名	郡	rural county	農村の郡
courage	名	勇気	moral courage	道義的勇気
course	名	進路	take a course	講座を受講する
court	名	法廷	supreme court	最高裁判所
courtesy	名	礼儀	common courtesy	一般的な礼儀
coward	名	臆病者	call someone a coward	臆病者と呼ぶ
crack	名	亀裂	a fine crack	細い亀裂
craft	名	技術	traditional craft	伝統技術
crash	動	衝突する	crash into a wall	壁に衝突する
create	動	生み出す	create jobs	雇用を生み出す
creature	名	生き物	living creature	生き物
credit	名	信用	academic credit	単位
crime	名	犯罪	violent crime	暴力犯罪
crisis	名	危機	economic crisis	経済危機
critic	名	批評家	harsh critic	厳しい批評家
critical	形	重大な	critical moment	重大な瞬間
criticize	動	批判する	criticize a policy	方針を批判する
crop	名	作物	cash crop	換金作物
crucial	形	極めて重要な	crucial factor	極めて重要な要因
crude	形	粗野な	crude oil	原油
cruel	形	残酷な	cruel treatment	残酷な扱い
crush	動	押しつぶす	crush opposition	反対を押しつぶす
cultivate	動	耕す	cultivate land	土地を耕す
culture	名	文化	popular culture	大衆文化
cure	動	治す	cure a disease	病気を治す
curious	形	好奇心が強い	curious mind	好奇心の強い心
current	形	現在の	current trend	現在の傾向
curve	名	曲線	learning curve	習熟曲線
custom	名	慣習	local custom	土地の慣習
cycle	名	循環	life cycle	生活環
damage	名	損害	cause damage	損害を与える
dare	動	あえてする	dare to speak	あえて発言する
data	名	資料	raw data	生データ
debate	名	討論	public debate	公開討論
debt	名	負債	national debt	国家負債
decade	名	十年	over a decade	十年以上
decay	動	腐敗する	decay over time	時とともに腐敗する
deceive	動	欺く	deceive the public	大衆を欺く
decide	動	決定する	decide a case	事件を決定する
declare	動	宣言する	declare independence	独立を宣言する
decline	動	衰退する	decline in quality	質の低下
decorate	動	飾る	decorate a hall	会場を飾る
decrease	動	減少する	decrease sharply	急減する
dedicate	動	捧げる	dedicate one's life	生涯を捧げる
defeat	動	打ち負かす	defeat an opponent	相手を打ち負かす
defect	名	欠陥	serious defect	重大な欠陥
defend	動	守る	defend a thesis	論文を弁護する
define	動	定義する	define a term	用語を定義する
definite	形	明確な	definite answer	明確な答え
degree	名	程度	a high degree	高い程度
delay	動	遅らせる	delay a decision	決定を遅らせる
deliberate	形	故意の	deliberate act	故意の行為
delicate	形	繊細な	delicate issue	繊細な問題
delight	名	喜び	great delight	大きな喜び
deliver	動	届ける	deliver a speech	演説を行う
demand	動	要求する	demand an answer	答えを要求する
democracy	名	民主主義	liberal democracy	自由民主主義
demonstrate	動	実証する	demonstrate skill	技能を実証する
dense	形	密集した	dense forest	密集した森林
deny	動	否定する	deny a charge	容疑を否定する
depart	動	出発する	depart on time	定刻に出発する
depend	動	依存する	depend on others	他者に依存する
depict	動	描く	depict a scene	情景を描く
deposit	名	預金	bank deposit	銀行預金
depress	動	落ち込ませる	depress the market	市場を沈滞させる
deprive	動	奪う	deprive of rights	権利を奪う
derive	動	引き出す	derive from Latin	ラテン語に由来する
descend	動	下降する	descend a slope	斜面を下降する
describe	動	記述する	describe a process	過程を記述する
desert	動	見捨てる	desert a post	職を見捨てる
deserve	動	値する	deserve praise	賞賛に値する
design	動	設計する	design a system	体系を設計する
desire	名	願望	strong desire	強い願望
despair	名	絶望	in despair	絶望して
despite	前	〜にもかかわらず	despite the risk	危険にもかかわらず
destroy	動	破壊する	destroy evidence	証拠を破壊する
detail	名	詳細	in detail	詳細に
detect	動	探知する	detect a signal	信号を探知する
determine	動	決定する	determine the cause	原因を決定する
develop	動	発達させる	develop a theory	理論を発達させる
device	名	装置	safety device	安全装置
devote	動	ささげる	devote time	時間をささげる
diagnose	動	診断する	diagnose a disease	病気を診断する
diagram	名	図表	flow diagram	流れ図
dialect	名	方言	regional dialect	地域方言
dictate	動	指図する	dictate terms	条件を指図する
differ	動	異なる	differ widely	大きく異なる
digest	動	消化する	digest information	情報を消化する
digital	形	デジタルの	digital archive	デジタル資料庫
dignity	名	尊厳	human dignity	人間の尊厳
dimension	名	次元	another dimension	別の次元
diminish	動	減少する	diminish in value	価値が減少する
diplomat	名	外交官	career diplomat	職業外交官
direct	動	指揮する	direct a project	事業を指揮する
disaster	名	災害	natural disaster	自然災害
discard	動	捨てる	discard old data	古い資料を捨てる
discharge	動	放出する	discharge waste	廃棄物を放出する
discipline	名	規律	strict discipline	厳しい規律
disclose	動	開示する	disclose information	情報を開示する
discount	名	割引	steep discount	大幅な割引
discourage	動	落胆させる	discourage smoking	喫煙を思いとどまらせる
discover	動	発見する	discover a planet	惑星を発見する
discuss	動	議論する	discuss a proposal	提案を議論する
disease	名	疾病	infectious disease	感染症
disguise	動	変装させる	disguise the truth	真実を隠す
disgust	名	嫌悪	public disgust	大衆の嫌悪
dismiss	動	退ける	dismiss a claim	主張を退ける
disorder	名	混乱	social disorder	社会的混乱
display	動	展示する	display artwork	作品を展示する
dispose	動	処分する	dispose of waste	廃棄物を処分する
dispute	名	論争	territorial dispute	領土論争
disrupt	動	混乱させる	disrupt traffic	交通を混乱させる
dissolve	動	溶解する	dissolve in water	水に溶解する
distant	形	遠い	distant relative	遠い親族
distinct	形	はっきりした	distinct feature	はっきりした特徴
distinguish	動	区別する	distinguish fact from fiction	事実と虚構を区別する
distort	動	歪める	distort the facts	事実を歪める
distract	動	そらす	distract attention	注意をそらす
distribute	動	分配する	distribute wealth	富を分配する
district	名	地区	school district	学区
disturb	動	妨げる	disturb the peace	平和を妨げる
diverse	形	多様な	diverse opinions	多様な意見
divide	動	分割する	divide equally	均等に分割する
divorce	名	離婚	file for divorce	離婚を申し立てる
document	名	文書	official document	公文書
domestic	形	国内の	domestic policy	国内政策
dominant	形	支配的な	dominant species	支配的な種
donate	動	寄付する	donate blood	献血する
dose	名	用量	a daily dose	一日の用量
doubt	名	疑い	reasonable doubt	合理的な疑い
draft	名	草稿	first draft	初稿
drag	動	引きずる	drag one's feet	ぐずぐずする
drain	動	排出する	drain resources	資源を消耗する
drama	名	劇	political drama	政治劇
drastic	形	抜本的な	drastic measure	抜本的な措置
dread	動	恐れる	dread failure	失敗を恐れる
drift	動	漂う	drift apart	次第に離れる
drought	名	干ばつ	severe drought	深刻な干ばつ
drown	動	溺れる	drown in debt	負債に溺れる
due	形	期限の	due process	適正手続き
dull	形	退屈な	dull lecture	退屈な講義
dump	動	投棄する	dump waste	廃棄物を投棄する
durable	形	耐久性のある	durable goods	耐久財
duty	名	義務	civic duty	市民の義務
eager	形	熱望して	eager to learn	学ぶことを熱望して
earn	動	得る	earn a living	生計を立てる
ease	名	容易さ	with ease	容易に
economy	名	経済	global economy	世界経済
edge	名	優位	competitive edge	競争上の優位
edit	動	編集する	edit a manuscript	原稿を編集する
educate	動	教育する	educate the public	大衆を教育する
effect	名	影響	side effect	副作用
effective	形	効果的な	effective method	効果的な方法
efficient	形	効率的な	efficient system	効率的な体系
effort	名	努力	joint effort	共同の努力
elaborate	形	精巧な	elaborate plan	精巧な計画
elect	動	選出する	elect a leader	指導者を選出する
elegant	形	優雅な	elegant solution	優雅な解決
element	名	要素	key element	重要な要素
eliminate	動	排除する	eliminate waste	無駄を排除する
elite	名	精鋭	political elite	政治的精鋭
embarrass	動	困惑させる	embarrass a guest	客を困惑させる
embrace	動	受け入れる	embrace change	変化を受け入れる
emerge	動	現れる	emerge from crisis	危機から現れる
emergency	名	緊急事態	national emergency	国家の緊急事態
emotion	名	感情	strong emotion	強い感情
emphasis	名	強調	place emphasis	強調を置く
empire	名	帝国	vast empire	広大な帝国
employ	動	雇用する	employ workers	労働者を雇用する
empty	形	空の	empty promise	空約束
enable	動	可能にする	enable access	利用を可能にする
enclose	動	同封する	enclose a copy	写しを同封する
encounter	動	遭遇する	encounter resistance	抵抗に遭遇する
encourage	動	奨励する	encourage debate	討論を奨励する
endanger	動	危険にさらす	endanger wildlife	野生生物を危険にさらす
endure	動	耐える	endure hardship	苦難に耐える
enforce	動	施行する	enforce a law	法律を施行する
engage	動	従事する	engage in research	研究に従事する
engine	名	機関	steam engine	蒸気機関
enhance	動	高める	enhance quality	質を高める
enormous	形	莫大な	enormous cost	莫大な費用
enrich	動	豊かにする	enrich the soil	土壌を豊かにする
ensure	動	保証する	ensure safety	安全を保証する
enter	動	入る	enter a market	市場に入る
enterprise	名	事業	private enterprise	民間事業
entertain	動	楽しませる	entertain guests	客を楽しませる
enthusiasm	名	熱意	show enthusiasm	熱意を示す
entire	形	全体の	entire population	全人口
entitle	動	資格を与える	entitle to benefits	給付の資格を与える
environment	名	環境	natural environment	自然環境
envy	名	嫉妬	feel envy	嫉妬を感じる
epidemic	名	流行	flu epidemic	インフルエンザの流行
equal	形	平等な	equal rights	平等な権利
equip	動	装備する	equip a laboratory	研究室を装備する
equivalent	形	同等の	equivalent value	同等の価値
era	名	時代	a new era	新しい時代
erect	動	建てる	erect a monument	記念碑を建てる
error	名	誤り	human error	人為的誤り
escape	動	逃げる	escape danger	危険から逃げる
especially	副	特に	especially important	特に重要な
essential	形	不可欠な	essential skill	不可欠な技能
establish	動	設立する	establish a rule	規則を設ける
estate	名	財産	real estate	不動産
estimate	動	見積もる	estimate the cost	費用を見積もる
ethic	名	倫理	work ethic	勤労倫理
ethnic	形	民族の	ethnic group	民族集団
evaluate	動	評価する	evaluate evidence	証拠を評価する
event	名	出来事	historic event	歴史的出来事
eventually	副	最終的に	eventually succeed	最終的に成功する
evidence	名	証拠	clear evidence	明白な証拠
evident	形	明白な	evident fact	明白な事実
evolve	動	進化する	evolve over time	時とともに進化する
exact	形	正確な	exact figure	正確な数値
exaggerate	動	誇張する	exaggerate a claim	主張を誇張する
examine	動	調べる	examine a sample	標本を調べる
exceed	動	超える	exceed a limit	限度を超える
excellent	形	優れた	excellent record	優れた実績
except	前	〜を除いて	except for one	一つを除いて
exception	名	例外	rare exception	まれな例外
excess	名	過剰	in excess	過剰に
exchange	動	交換する	exchange views	見解を交換する
excite	動	興奮させる	excite curiosity	好奇心を刺激する
exclude	動	除外する	exclude a variable	変数を除外する
excuse	名	言い訳	lame excuse	まずい言い訳
execute	動	実行する	execute a plan	計画を実行する
exempt	形	免除された	tax exempt	免税の
exercise	動	行使する	exercise a right	権利を行使する
exhaust	動	使い果たす	exhaust resources	資源を使い果たす
exhibit	動	示す	exhibit symptoms	症状を示す
exile	名	追放	live in exile	追放されて暮らす
exist	動	存在する	exist in nature	自然界に存在する
expand	動	拡大する	expand a market	市場を拡大する
expect	動	予期する	expect a delay	遅れを予期する
expedition	名	遠征	scientific expedition	科学遠征
expel	動	追放する	expel a member	会員を追放する
expense	名	費用	at great expense	多大な費用で
experience	名	経験	practical experience	実践的経験
experiment	名	実験	controlled experiment	対照実験
expert	名	専門家	legal expert	法律の専門家
explain	動	説明する	explain a theory	理論を説明する
explicit	形	明示的な	explicit instruction	明示的な指示
explode	動	爆発する	explode in anger	怒りで爆発する
exploit	動	搾取する	exploit workers	労働者を搾取する
explore	動	探検する	explore an idea	考えを探る
export	動	輸出する	export goods	商品を輸出する
expose	動	さらす	expose a scandal	醜聞を暴露する
express	動	表現する	express concern	懸念を表現する
extend	動	延長する	extend a deadline	期限を延長する
extent	名	程度	to some extent	ある程度まで
external	形	外部の	external factor	外部要因
extinct	形	絶滅した	extinct species	絶滅した種
extra	形	追加の	extra cost	追加費用
extract	動	抽出する	extract minerals	鉱物を抽出する
extraordinary	形	並外れた	extraordinary talent	並外れた才能
extreme	形	極端な	extreme weather	極端な天候
fabric	名	織物	social fabric	社会の織物
facility	名	施設	research facility	研究施設
factor	名	要因	risk factor	危険要因
faculty	名	学部	faculty member	学部教員
fade	動	薄れる	fade from memory	記憶から薄れる
fail	動	失敗する	fail an exam	試験に失敗する
faint	形	かすかな	faint hope	かすかな希望
fair	形	公正な	fair trial	公正な裁判
faith	名	信頼	good faith	誠実
fake	形	偽の	fake news	偽の報道
false	形	誤った	false assumption	誤った仮定
fame	名	名声	rise to fame	名声を得る
familiar	形	精通した	familiar with data	資料に精通した
famine	名	飢饉	severe famine	深刻な飢饉
fancy	形	空想の	fancy idea	空想的な考え
fare	名	運賃	bus fare	バス運賃
fascinate	動	魅了する	fascinate readers	読者を魅了する
fashion	名	流行	in fashion	流行して
fatal	形	致命的な	fatal error	致命的な誤り
fate	名	運命	common fate	共通の運命
fault	名	欠点	find fault	欠点を見つける
favor	名	好意	in favor of	賛成して
fear	名	恐れ	public fear	大衆の恐れ
feasible	形	実行可能な	feasible plan	実行可能な計画
feature	名	特徴	distinctive feature	際立った特徴
federal	形	連邦の	federal government	連邦政府
fee	名	料金	admission fee	入場料
feed	動	養う	feed a family	家族を養う
feedback	名	反応	constructive feedback	建設的な反応
fellow	名	仲間	fellow researcher	研究仲間
female	形	雌の	female voter	女性有権者
fertile	形	肥沃な	fertile soil	肥沃な土壌
fiction	名	小説	science fiction	空想科学小説
